,predict
738,0.36086518
739,0.37535176
740,0.41599596
741,0.61145127
742,0.3571732
743,0.41463566
744,0.36014724
745,0.3130162
746,0.20532772
747,0.19618477
748,0.2147543
749,0.15423782
750,0.10266736
751,0.081445426
752,0.08004721
753,0.06855238
754,0.07620384
755,0.038945884
756,0.087169185
757,0.15561076
758,0.19732359
759,0.15478247
760,0.19045496
761,0.17034665
762,0.36864817
763,0.40397382
764,0.39482474
765,0.48733366
766,0.31316754
767,0.38941467
768,0.3409595
769,0.3195979
770,0.26425883
771,0.31374204
772,0.38467228
773,0.2813254
774,0.11899987
775,0.09771508
776,0.08734995
777,0.06708594
778,0.06185036
779,0.056097887
780,0.06336821
781,0.14835128
782,0.17837599
783,0.18809786
784,0.17135452
785,0.16965488
786,0.3776024
787,0.39397198
788,0.46596843
789,0.571668
790,0.5012559
791,0.5064329
792,0.40721655
793,0.33468515
794,0.28225684
795,0.20872384
796,0.16621143
797,0.12567884
798,0.114282876
799,0.11212351
800,0.09973173
801,0.08366862
802,0.08543527
803,0.111747175
804,0.122544244
805,0.124304585
806,0.12601064
807,0.12336058
808,0.14504026
809,0.101243965
810,0.32439685
811,0.43470162
812,0.44534045
813,0.48498946
814,0.3223335
815,0.45043057
816,0.44066352
817,0.40914273
818,0.30354258
819,0.23877567
820,0.2522699
821,0.17571732
822,0.099011585
823,0.08908461
824,0.08261884
825,0.062353246
826,0.06567499
827,0.07444858
828,0.07244567
829,0.1473413
830,0.17635342
831,0.19894914
832,0.19424103
833,0.1913797
834,0.37680903
835,0.44386625
836,0.52418816
837,0.6307577
838,0.4030732
839,0.344792
840,0.3638698
841,0.3156535
842,0.20760584
843,0.16631025
844,0.15970235
845,0.1399182
846,0.11627698
847,0.0935584
848,0.08009261
849,0.067233086
850,0.06391637
851,0.0629993
852,0.07959457
853,0.13532397
854,0.18555649
855,0.18691403
856,0.18267229
857,0.176694
858,0.33881685
859,0.38681766
860,0.41745746
861,0.51574874
862,0.42956918
863,0.46755636
864,0.40578824
865,0.34504625
866,0.3226321
867,0.2154307
868,0.19330513
869,0.15811493
870,0.09807402
871,0.08809448
872,0.070625864
873,0.05623316
874,0.0675366
875,0.08267692
876,0.09381962
877,0.16270798
878,0.20273438
879,0.19581869
880,0.23420456
881,0.18144965
882,0.43428212
883,0.48506588
884,0.47614408
885,0.62318677
886,0.5424563
887,0.40582854
888,0.3449303
889,0.41880703
890,0.29556227
891,0.18104452
892,0.15364103
893,0.15964255
894,0.13178304
895,0.1038102
896,0.08494212
897,0.0806475
898,0.08190858
899,0.058420375
900,0.09421413
901,0.16185987
902,0.17527312
903,0.14960217
904,0.20059457
905,0.13766904
906,0.38820815
907,0.54630643
908,0.49237108
909,0.49622607
910,0.46504134
911,0.524928
912,0.45891422
913,0.36118305
914,0.26082334
915,0.17106837
916,0.12841663
917,0.107008114
918,0.10196758
919,0.081611305
920,0.063631356
921,0.054352954
922,0.07422325
923,0.047383323
924,0.110325724
925,0.17416888
926,0.18675596
927,0.19496644
928,0.20280547
929,0.18491004
930,0.38227624
931,0.34585053
932,0.39962
933,0.55204
934,0.6123959
935,0.69940495
936,0.55444604
937,0.2925468
938,0.1910901
939,0.18829232
940,0.14315483
941,0.1172837
942,0.10615046
943,0.08818153
944,0.077051416
945,0.049823336
946,0.061711296
947,0.0821241
948,0.15222038
949,0.16315174
950,0.21115248
951,0.16348301
952,0.15306109
953,0.18902862
954,0.39387834
955,0.43143356
956,0.5212258
957,0.4713956
958,0.4768948
959,0.43800902
960,0.3097819
961,0.31291133
962,0.17934452
963,0.13411547
964,0.11061497
965,0.099050894
966,0.09486738
967,0.06755533
968,0.056086935
969,0.06631858
970,0.09023903
971,0.072402604
972,0.14460005
973,0.15971279
974,0.18421544
975,0.18728855
976,0.20096701
977,0.16525577
978,0.32653487
979,0.36094964
980,0.38993496
981,0.5164417
982,0.40380752
983,0.50199634
984,0.49517614
985,0.46923226
986,0.34296274
987,0.29221207
988,0.2005363
989,0.10074854
990,0.0951963
991,0.09214195
992,0.07821551
993,0.06840367
994,0.05726833
995,0.08525419
996,0.13069926
997,0.17181188
998,0.18725808
999,0.18952157
1000,0.18337709
1001,0.14672473
1002,0.36924106
1003,0.36041933
1004,0.39335227
1005,0.45593202
1006,0.3424765
1007,0.42232972
1008,0.45446587
1009,0.47418046
1010,0.42151022
1011,0.24533647
1012,0.17415194
1013,0.13169783
1014,0.097174585
1015,0.07130681
1016,0.061891504
1017,0.09282723
1018,0.0762293
1019,0.080154106
1020,0.14894678
1021,0.18532237
1022,0.20095697
1023,0.19370237
1024,0.1696634
1025,0.1796442
1026,0.38144395
1027,0.36736995
1028,0.4269699
1029,0.39974076
1030,0.35755527
1031,0.41162872
1032,0.4950781
1033,0.5020954
1034,0.44064367
1035,0.38545248
1036,0.28641263
1037,0.21284649
1038,0.12001844
1039,0.10299654
1040,0.10003586
1041,0.087016694
1042,0.073701
1043,0.047696367
1044,0.08933893
1045,0.09544581
1046,0.1347825
1047,0.16246939
1048,0.18740551
1049,0.17549261
1050,0.37423244
1051,0.34393114
1052,0.45490348
1053,0.46790278
1054,0.43459123
1055,0.46424282
1056,0.3962646
1057,0.39912778
1058,0.3394672
1059,0.22150047
1060,0.14165442
1061,0.12762937
1062,0.11203181
1063,0.0761656
1064,0.05393213
1065,0.09463531
1066,0.09594357
1067,0.06814505
1068,0.14351124
1069,0.19669867
1070,0.20252155
1071,0.21684569
1072,0.16081414
1073,0.16143636
1074,0.40897167
1075,0.3220799
1076,0.4622957
1077,0.413956
1078,0.3753234
1079,0.49483323
1080,0.59739053
1081,0.5822354
1082,0.3633794
1083,0.29127395
1084,0.25983933
1085,0.14420563
1086,0.11565405
1087,0.097699896
1088,0.08585231
1089,0.08078403
1090,0.070184186
1091,0.05408161
1092,0.09292091
1093,0.16777726
1094,0.20361704
1095,0.20710817
1096,0.17503595
1097,0.16175894
1098,0.37195683
1099,0.3277304
1100,0.399518
1101,0.42718232
1102,0.33895397
1103,0.43108308
1104,0.43156672
1105,0.4677465
1106,0.362984
1107,0.28405875
1108,0.25484627
1109,0.18608889
1110,0.110434905
1111,0.0839014
1112,0.08104088
1113,0.094890356
1114,0.076354474
1115,0.09588619
1116,0.14481144
1117,0.18304846
1118,0.17447534
1119,0.2086914
1120,0.12652844
1121,0.18105924
1122,0.36998242
1123,0.36169833
1124,0.46526664
1125,0.454646
1126,0.36418843
1127,0.40828693
1128,0.4115103
1129,0.45321798
1130,0.40581942
1131,0.3791908
1132,0.31291926
1133,0.18152978
1134,0.12426997
1135,0.08746864
1136,0.081360586
1137,0.07945846
1138,0.05760449
1139,0.04888154
1140,0.12103613
1141,0.17283776
1142,0.17093693
1143,0.19176376
1144,0.1705883
1145,0.20475699
1146,0.37028348
1147,0.4381516
1148,0.5730331
1149,0.3883071
1150,0.36361316
1151,0.38436866
1152,0.39314502
1153,0.3821562
1154,0.27030748
1155,0.27712086
1156,0.253842
1157,0.20217393
1158,0.10263118
1159,0.06125369
1160,0.086374745
1161,0.082818374
1162,0.0637935
1163,0.08354791
1164,0.16593206
1165,0.24750358
1166,0.22328097
1167,0.17641333
1168,0.18050286
1169,0.20054707
1170,0.34011695
1171,0.46749306
1172,0.6860467
1173,0.6797794
1174,0.5192327
1175,0.37052014
1176,0.2520287
1177,0.17488238
1178,0.13211657
